Date,State,City(Country),Address,killed,injured
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
"December 31, 2014",Florida,Lauderhill,3135 West Broward Boulevard,0,2
"December 31, 2014",Wyoming,Evansville,700 block of Rawhide Rd,0,0
"December 31, 2014",Massachusetts,Waltham,Clocktower Drive,0,0
"December 31, 2014",Texas,San Antonio,7999 Potranco Road,0,0
"December 31, 2014",Texas,Dallas,4000 block of Penelope St.,0,1
"December 31, 2014",California,Stockton,2300 block of East Lindsay Street,0,0
"December 31, 2014",Kansas,Overland Park,8300 block of Kessler,1,0
"December 31, 2014",Rhode Island,Warwick,Route 2 and East Avenue,0,0
"December 31, 2014",Missouri,Springfield,N/A,0,1
"December 31, 2014",Maryland,Baltimore,4700 block of Shamrock Avenue,0,1
"December 31, 2014",Maryland,Baltimore,5600 block of Harford Road,0,1
"December 31, 2014",Illinois,Chicago,8600 block of South Racine,0,1
"December 31, 2014",Michigan,Ypsilanti,900 block of N. Congress Stree,0,0
"December 31, 2014",Maryland,Capitol Heights,800 block of Balsamtree Drive,1,0
"December 31, 2014",Missouri,Kansas City,4200 block of Woodland Avenue,1,0
"December 31, 2014",Florida,Miami,69th Street and 6th Court,1,0
"December 31, 2014",Florida,Orange County,Garden Cove Court,0,1
"December 31, 2014",Maryland,Dundalk,200 block of Baltimore Avenue,0,0
"December 31, 2014",New Jersey,Lebanon,900 block of Guilford Street,0,0
"December 31, 2014",Colorado,Denver,East Fifth Avenue and Alton Way,1,0
"December 31, 2014",Ohio,Elyria,800 block of Allen Street,0,0
"December 31, 2014",New Jersey,Jersey City,Bramhall Avenue,0,0
"December 31, 2014",Louisiana,New Orleans,Bullard Avenue and Dwyer Road,0,0
"December 31, 2014",Tennessee,Chattanooga,Arlington Avenue,0,0
"December 31, 2014",Virginia,Dinwiddie County,8000 block of Vaughan Road,1,0
